ABG-organisatie; Alphen; art. 1.2.1.h. WGR; JenV
Gemeente Etten-Leur; Etten-Leur; art. 1.2.1.c. gemeenten; BZK
Gemeente Geertruidenberg; Raamsdonksveer; art. 1.2.1.c. gemeenten; BZK
Gemeente Geldrop Mierlo; Geldrop; art. 1.2.1.c. gemeenten; BZK
Gemeente Gemert-Bakel; Gemert; art. 1.2.1.c. gemeenten; BZK
Gemeente Gennep; Gennep; art. 1.2.1.c. gemeenten; BZK
Gemeente Gilze en Rijen; Rijen; art. 1.2.1.c. gemeenten; BZK
Gemeente Goeree-Overflakkee; Middelharnis; art. 1.2.1.c. gemeenten; BZK
Gemeente Goes; Goes; art. 1.2.1.c. gemeenten; BZK
Gemeente Goirle; Goirle; art. 1.2.1.c. gemeenten; BZK
Gemeente Gooise Meren; Bussum; art. 1.2.1.c. gemeenten; BZK
Gemeente Gorinchem; Gorinchem; art. 1.2.1.c. gemeenten; BZK
Gemeente Gouda; Gouda; art. 1.2.1.c. gemeenten; BZK
Gemeente Grave; Grave; art. 1.2.1.c. gemeenten; BZK
Gemeente Groningen; Groningen; art. 1.2.1.c. gemeenten; BZK
Gemeente Gulpen-Wittem; Gulpen; art. 1.2.1.c. gemeenten; BZK
Gemeente Haaksbergen; Haaksbergen; art. 1.2.1.c. gemeenten; BZK
Gemeente Haarlem; Haarlem; art. 1.2.1.c. gemeenten; BZK
Gemeente Haarlemmermeer; Hoofddorp; art. 1.2.1.c. gemeenten; BZK
Gemeente Halderberge; Oudenbosch; art. 1.2.1.c. gemeenten; BZK
Gemeente Hardenberg; Hardenberg; art. 1.2.1.c. gemeenten; BZK
Gemeente Harderwijk; Harderwijk; art. 1.2.1.c. gemeenten; BZK
Gemeente Hardinxveld-Giessendam; Hardinxveld-Giessendam; art. 1.2.1.c. gemeenten; BZK
Gemeente Harlingen; Harlingen; art. 1.2.1.c. gemeenten; BZK
Gemeente Hattem; Hattem; art. 1.2.1.c. gemeenten; BZK
Gemeente Heemskerk; Heemskerk; art. 1.2.1.c. gemeenten; BZK
Gemeente Heemstede; Heemstede; art. 1.2.1.c. gemeenten; BZK
Gemeente Heerde; Heerde; art. 1.2.1.c. gemeenten; BZK
Gemeente Heerenveen; Heerenveen; art. 1.2.1.c. gemeenten; BZK
Gemeente Heerhugowaard; Heerhugowaard; art. 1.2.1.c. gemeenten; BZK
Gemeente Heerlen; Heerlen; art. 1.2.1.c. gemeenten; BZK
Gemeente Heeze-Leende; Heeze; art. 1.2.1.c. gemeenten; BZK
Gemeente Heiloo; Heiloo; art. 1.2.1.c. gemeenten; BZK
Gemeente Hellendoorn; Nijverdal; art. 1.2.1.c. gemeenten; BZK
gemeente Hellevoetsluis; Hellevoetsluis; art. 1.2.1.c. gemeenten; BZK
Gemeente Helmond; Helmond; art. 1.2.1.c. gemeenten; BZK
Gemeente Hendrik Ido Ambacht; Hendrik-Ido-Ambacht; art. 1.2.1.c. gemeenten; BZK
Gemeente Hengelo; Hengelo; art. 1.2.1.c. gemeenten; BZK
Gemeente Het Hogeland; Winsum; art. 1.2.1.c. gemeenten; BZK
Gemeente Heumen; Malden; art. 1.2.1.c. gemeenten; BZK
Gemeente Heusden; Vlijmen; art. 1.2.1.c. gemeenten; BZK
Gemeente Hillegom; Hillegom; art. 1.2.1.c. gemeenten; BZK
Gemeente Hilvarenbeek; Hilvarenbeek; art. 1.2.1.c. gemeenten; BZK
Gemeente Hilversum; Hilversum; art. 1.2.1.c. gemeenten; BZK
Gemeente Hoeksche Waard; Maasdam; art. 1.2.1.c. gemeenten; BZK
Gemeente Hof van Twente; Goor; art. 1.2.1.c. gemeenten; BZK
Gemeente Hollands Kroon; Anna Paulowna; art. 1.2.1.c. gemeenten; BZK
Gemeente Hoogeveen; Hoogeveen; art. 1.2.1.c. gemeenten; BZK
Gemeente Hoorn; Hoorn; art. 1.2.1.c. gemeenten; BZK
Gemeente Horst aan de Maas; Horst; art. 1.2.1.c. gemeenten; BZK
Gemeente Houten; Houten; art. 1.2.1.c. gemeenten; BZK
Gemeente Huizen; Huizen; art. 1.2.1.c. gemeenten; BZK
Gemeente Hulst; Hulst; art. 1.2.1.c. gemeenten; BZK
Gemeente IJsselstein; IJsselstein; art. 1.2.1.c. gemeenten; BZK
Gemeente Kaag en Braassem; Roelofarendsveen; art. 1.2.1.c. gemeenten; BZK
Gemeente Kampen; Kampen; art. 1.2.1.c. gemeenten; BZK
Gemeente Kapelle; Kapelle; art. 1.2.1.c. gemeenten; BZK
Gemeente Katwijk; Katwijk; art. 1.2.1.c. gemeenten; BZK
Gemeente Kerkrade; Kerkrade; art. 1.2.1.c. gemeenten; BZK
Gemeente Koggenland; De Goorn; art. 1.2.1.c. gemeenten; BZK
Gemeente Krimpen aan den IJssel; Krimpen aan den Ijssel; art. 1.2.1.c. gemeenten; BZK
Gemeente Krimpenerwaard; Stolwijk; art. 1.2.1.c. gemeenten; BZK
Gemeente Laarbeek; Beek en Donk; art. 1.2.1.c. gemeenten; BZK
Gemeente Land van Cuijk; Cuijk; art. 1.2.1.c. gemeenten; BZK
Gemeente Landerd; Zeeland; art. 1.2.1.c. gemeenten; BZK
Gemeente Landgraaf; Landgraaf; art. 1.2.1.c. gemeenten; BZK
Gemeente Landsmeer; Landsmeer; art. 1.2.1.c. gemeenten; BZK
Gemeente Langedijk; Zuid-Scharwoude; art. 1.2.1.c. gemeenten; BZK
Gemeente Lansingerland; Bergschenhoek; art. 1.2.1.c. gemeenten; BZK
Gemeente Laren; Laren; art. 1.2.1.c. gemeenten; BZK
Gemeente Leeuwarden; Leeuwarden; art. 1.2.1.c. gemeenten; BZK
Gemeente Leiden; Leiden; art. 1.2.1.c. gemeenten; BZK
Gemeente Leiderdorp; Leiderdorp; art. 1.2.1.c. gemeenten; BZK
Gemeente Leidschendam-Voorburg; Leidschendam; art. 1.2.1.c. gemeenten; BZK
Gemeente Lelystad; Lelystad; art. 1.2.1.c. gemeenten; BZK
Gemeente Leudal; Heythuysen; art. 1.2.1.c. gemeenten; BZK
Gemeente Leusden; Leusden; art. 1.2.1.c. gemeenten; BZK
Gemeente Lingewaard; Bemmel; art. 1.2.1.c. gemeenten; BZK
Gemeente Lisse; Lisse; art. 1.2.1.c. gemeenten; BZK
Gemeente Lochem; Lochem; art. 1.2.1.c. gemeenten; BZK
Gemeente Loon op Zand; Kaatsheuvel; art. 1.2.1.c. gemeenten; BZK
Gemeente Lopik; Lopik; art. 1.2.1.c. gemeenten; BZK
Gemeente Loppersum; Loppersum; art. 1.2.1.c. gemeenten; BZK
Gemeente Losser; Losser; art. 1.2.1.c. gemeenten; BZK
Gemeente Maasdriel; Kerkdriel; art. 1.2.1.c. gemeenten; BZK
Gemeente Maasgouw; Maasbracht; art. 1.2.1.c. gemeenten; BZK
Gemeente Maashorst; Uden; art. 1.2.1.c. gemeenten; BZK
Gemeente Maassluis; Maassluis; art. 1.2.1.c. gemeenten; BZK
Gemeente Maastricht; Maastricht; art. 1.2.1.c. gemeenten; BZK
Gemeente Medemblik; Wognum; art. 1.2.1.c. gemeenten; BZK
Gemeente Meerssen; Meerssen; art. 1.2.1.c. gemeenten; BZK
Gemeente Meierijstad; Veghel; art. 1.2.1.c. gemeenten; BZK
Gemeente Meppel; Meppel; art. 1.2.1.c. gemeenten; BZK
Gemeente Middelburg; Middelburg; art. 1.2.1.c. gemeenten; BZK
Gemeente Midden-Delfland; Schipluiden; art. 1.2.1.c. gemeenten; BZK
Gemeente Midden-Drenthe; Beilen; art. 1.2.1.c. gemeenten; BZK
Gemeente Midden-Groningen; Hoogezand; art. 1.2.1.c. gemeenten; BZK
Gemeente Mill en Sint Hubert; Mill; art. 1.2.1.c. gemeenten; BZK
Gemeente Moerdijk; Zevenbergen; art. 1.2.1.c. gemeenten; BZK
Gemeente Molenlanden; Hoornaar; art. 1.2.1.c. gemeenten; BZK
Gemeente Montferland; Didam; art. 1.2.1.c. gemeenten; BZK
Gemeente Montfoort; Montfoort; art. 1.2.1.c. gemeenten; BZK
Gemeente Mook en Middelaar; Mook; art. 1.2.1.c. gemeenten; BZK
Gemeente Neder Betuwe; Opheusden; art. 1.2.1.c. gemeenten; BZK
Gemeente Nederweert; Nederweert; art. 1.2.1.c. gemeenten; BZK
Gemeente Nieuwegein; Nieuwegein; art. 1.2.1.c. gemeenten; BZK
Gemeente Nieuwkoop; Nieuwveen; art. 1.2.1.c. gemeenten; BZK
Gemeente Nijkerk; Nijkerk; art. 1.2.1.c. gemeenten; BZK
Gemeente Nijmegen; Nijmegen; art. 1.2.1.c. gemeenten; BZK
Gemeente Nissewaard; Spijkenisse; art. 1.2.1.c. gemeenten; BZK
Gemeente Noardeast-Fryslân; Dokkum; art. 1.2.1.c. gemeenten; BZK
Gemeente Noord Beveland; Wissenkerke; art. 1.2.1.c. gemeenten; BZK
Gemeente Noordenveld; Roden; art. 1.2.1.c. gemeenten; BZK
Gemeente Noordoostpolder; Emmeloord; art. 1.2.1.c. gemeenten; BZK
Gemeente Noordwijk; Noordwijk; art. 1.2.1.c. gemeenten; BZK
Gemeente Nuenen c.a.; Nuenen; art. 1.2.1.c. gemeenten; BZK
Gemeente Nunspeet; Nunspeet; art. 1.2.1.c. gemeenten; BZK
Gemeente Oegstgeest; Oegstgeest; art. 1.2.1.c. gemeenten; BZK
Gemeente Oirschot; Oirschot; art. 1.2.1.c. gemeenten; BZK
Gemeente Oisterwijk; Oisterwijk; art. 1.2.1.c. gemeenten; BZK
Gemeente Oldambt; Winschoten; art. 1.2.1.c. gemeenten; BZK
Gemeente Oldebroek; Oldebroek; art. 1.2.1.c. gemeenten; BZK
Gemeente Oldenzaal; Oldenzaal; art. 1.2.1.c. gemeenten; BZK
Gemeente Olst-Wijhe; Wijhe; art. 1.2.1.c. gemeenten; BZK
Gemeente Ommen; Ommen; art. 1.2.1.c. gemeenten; BZK
Gemeente Oost Gelre; Lichtenvoorde; art. 1.2.1.c. gemeenten; BZK
Gemeente Oosterhout; Oosterhout; art. 1.2.1.c. gemeenten; BZK
Gemeente Ooststellingwerf; Oosterwolde; art. 1.2.1.c. gemeenten; BZK
Gemeente Oostzaan; Oostzaan; art. 1.2.1.c. gemeenten; BZK
Gemeente Opmeer; Opmeer; art. 1.2.1.c. gemeenten; BZK
Gemeente Opsterland; Beetsterzwaag; art. 1.2.1.c. gemeenten; BZK
Gemeente Oss; Oss; art. 1.2.1.c. gemeenten; BZK
Gemeente Oude IJsselstreek; Gendringen; art. 1.2.1.c. gemeenten; BZK
Gemeente Ouder Amstel; Ouderkerk aan de Amstel; art. 1.2.1.c. gemeenten; BZK
Gemeente Oudewater; Oudewater; art. 1.2.1.c. gemeenten; BZK
Gemeente Overbetuwe; Elst; art. 1.2.1.c. gemeenten; BZK
Gemeente Papendrecht; Papendrecht; art. 1.2.1.c. gemeenten; BZK
Gemeente Peel en Maas; Panningen; art. 1.2.1.c. gemeenten; BZK
Gemeente Pekela; Oude Pekela; art. 1.2.1.c. gemeenten; BZK
Gemeente Pijnacker-Nootdorp; Pijnacker; art. 1.2.1.c. gemeenten; BZK
Gemeente Purmerend; Purmerend; art. 1.2.1.c. gemeenten; BZK
Gemeente Putten; Putten; art. 1.2.1.c. gemeenten; BZK
Gemeente Raalte; Raalte; art. 1.2.1.c. gemeenten; BZK
Gemeente Reimerswaal; Kruiningen; art. 1.2.1.c. gemeenten; BZK
Gemeente Renkum; Oosterbeek; art. 1.2.1.c. gemeenten; BZK
Gemeente Renswoude; Renswoude; art. 1.2.1.c. gemeenten; BZK
Gemeente Reusel De Mierden; Reusel; art. 1.2.1.c. gemeenten; BZK
Gemeente Rheden; De Steeg; art. 1.2.1.c. gemeenten; BZK
Gemeente Rhenen; Rhenen; art. 1.2.1.c. gemeenten; BZK
Gemeente Ridderkerk; Ridderkerk; art. 1.2.1.c. gemeenten; BZK
Gemeente Rijssen-Holten; Rijssen; art. 1.2.1.c. gemeenten; BZK
Gemeente Rijswijk; Rijswijk; art. 1.2.1.c. gemeenten; BZK
Gemeente Roerdalen; Sint Odiliënberg; art. 1.2.1.c. gemeenten; BZK
Gemeente Roermond; Roermond; art. 1.2.1.c. gemeenten; BZK
Gemeente Roosendaal; Roosendaal; art. 1.2.1.c. gemeenten; BZK
Gemeente Rotterdam; Rotterdam; art. 1.2.1.c. gemeenten; BZK
Gemeente Rozendaal; Rozendaal; art. 1.2.1.c. gemeenten; BZK
Gemeente Rucphen; Rucphen; art. 1.2.1.c. gemeenten; BZK
Gemeente Schagen; Schagen; art. 1.2.1.c. gemeenten; BZK
Gemeente Scherpenzeel; Scherpenzeel; art. 1.2.1.c. gemeenten; BZK
Gemeente Schiedam; Schiedam; art. 1.2.1.c. gemeenten; BZK
Gemeente Schiermonnikoog; Schiermonnikoog; art. 1.2.1.c. gemeenten; BZK
Gemeente Schouwen-Duiveland; Zierikzee; art. 1.2.1.c. gemeenten; BZK
Gemeente 's-Hertogenbosch; 's-Hertogenbosch; art. 1.2.1.c. gemeenten; BZK
Gemeente Simpelveld; Simpelveld; art. 1.2.1.c. gemeenten; BZK
Gemeente Sint Anthonis; Sint Anthonis; art. 1.2.1.c. gemeenten; BZK
Gemeente Sint-Michielsgestel; Sint-Michielsgestel; art. 1.2.1.c. gemeenten; BZK
Gemeente Sittard-Geleen; Sittard; art. 1.2.1.c. gemeenten; BZK
Gemeente Sliedrecht; Sliedrecht; art. 1.2.1.c. gemeenten; BZK
Gemeente Sluis; Oostburg; art. 1.2.1.c. gemeenten; BZK
Gemeente Smallingerland; Drachten; art. 1.2.1.c. gemeenten; BZK
Gemeente Soest; Soest; art. 1.2.1.c. gemeenten; BZK
Gemeente Someren; Someren; art. 1.2.1.c. gemeenten; BZK
Gemeente Son en Breugel; Son en Breugel; art. 1.2.1.c. gemeenten; BZK
Gemeente Stadskanaal; Stadskanaal; art. 1.2.1.c. gemeenten; BZK
Gemeente Staphorst; Staphorst; art. 1.2.1.c. gemeenten; BZK
Gemeente Stede Broec; Bovenkarspel; art. 1.2.1.c. gemeenten; BZK
Gemeente Steenbergen; Steenbergen; art. 1.2.1.c. gemeenten; BZK
Gemeente Steenwijkerland; Steenwijk; art. 1.2.1.c. gemeenten; BZK
Gemeente Stein; Stein; art. 1.2.1.c. gemeenten; BZK
Gemeente Stichtse Vecht; Maarssen; art. 1.2.1.c. gemeenten; BZK
Gemeente Súdwest-Fryslân; Sneek; art. 1.2.1.c. gemeenten; BZK
Gemeente Terneuzen; Terneuzen; art. 1.2.1.c. gemeenten; BZK
Gemeente Terschelling; West-Terschelling; art. 1.2.1.c. gemeenten; BZK
Gemeente Texel; Den Burg; art. 1.2.1.c. gemeenten; BZK
Gemeente Teylingen; Sassenheim; art. 1.2.1.c. gemeenten; BZK
Gemeente Tholen; Tholen; art. 1.2.1.c. gemeenten; BZK
Gemeente Tiel; Tiel; art. 1.2.1.c. gemeenten; BZK
Gemeente Tilburg; Tilburg; art. 1.2.1.c. gemeenten; BZK
Gemeente Tubbergen; Tubbergen; art. 1.2.1.c. gemeenten; BZK
Gemeente Twenterand; Vriezenveen; art. 1.2.1.c. gemeenten; BZK
Gemeente Tynaarlo; Vries; art. 1.2.1.c. gemeenten; BZK
Gemeente Tytsjerksteradiel; Burgum; art. 1.2.1.c. gemeenten; BZK
Gemeente Uden; Uden; art. 1.2.1.c. gemeenten; BZK
Gemeente Uitgeest; Uitgeest; art. 1.2.1.c. gemeenten; BZK
Gemeente Uithoorn; Uithoorn; art. 1.2.1.c. gemeenten; BZK
Gemeente Urk; Urk; art. 1.2.1.c. gemeenten; BZK
Gemeente Utrecht; Utrecht; art. 1.2.1.c. gemeenten; BZK
Gemeente Utrechtse Heuvelrug; Doorn; art. 1.2.1.c. gemeenten; BZK
Gemeente Vaals; Vaals; art. 1.2.1.c. gemeenten; BZK
Gemeente Valkenburg aan de Geul; Valkenburg; art. 1.2.1.c. gemeenten; BZK
Gemeente Valkenswaard; Valkenswaard; art. 1.2.1.c. gemeenten; BZK
Gemeente Veendam; Veendam; art. 1.2.1.c. gemeenten; BZK
Gemeente Veenendaal; Veenendaal; art. 1.2.1.c. gemeenten; BZK
Gemeente Veere; Domburg; art. 1.2.1.c. gemeenten; BZK
Gemeente Veldhoven; Veldhoven; art. 1.2.1.c. gemeenten; BZK
Gemeente Velsen; IJmuiden; art. 1.2.1.c. gemeenten; BZK
Gemeente Venlo; Venlo; art. 1.2.1.c. gemeenten; BZK
Gemeente Venray; Venray; art. 1.2.1.c. gemeenten; BZK
Gemeente Vijfheerenlanden; Leerdam; art. 1.2.1.c. gemeenten; BZK
Gemeente Vlaardingen; Vlaardingen; art. 1.2.1.c. gemeenten; BZK
Gemeente Vlieland; Vlieland; art. 1.2.1.c. gemeenten; BZK
Gemeente Vlissingen; Vlissingen; art. 1.2.1.c. gemeenten; BZK
Gemeente Voerendaal; Voerendaal; art. 1.2.1.c. gemeenten; BZK
Gemeente Voorschoten; Voorschoten; art. 1.2.1.c. gemeenten; BZK
Gemeente Voorst; Twello; art. 1.2.1.c. gemeenten; BZK
Gemeente Vught; Vught; art. 1.2.1.c. gemeenten; BZK
Gemeente Waadhoeke; Franeker; art. 1.2.1.c. gemeenten; BZK
Gemeente Waalre; Waalre; art. 1.2.1.c. gemeenten; BZK
Gemeente Waalwijk; Waalwijk; art. 1.2.1.c. gemeenten; BZK
Gemeente Waddinxveen; Waddinxveen; art. 1.2.1.c. gemeenten; BZK
Gemeente Wageningen; Wageningen; art. 1.2.1.c. gemeenten; BZK
Gemeente Wassenaar; Wassenaar; art. 1.2.1.c. gemeenten; BZK
Gemeente Waterland; Monnickendam; art. 1.2.1.c. gemeenten; BZK
Gemeente Weert; Weert; art. 1.2.1.c. gemeenten; BZK
Gemeente Weesp; Weesp; art. 1.2.1.c. gemeenten; BZK
Gemeente West Betuwe; Geldermalsen; art. 1.2.1.c. gemeenten; BZK
Gemeente West Maas en Waal; Beneden-Leeuwen; art. 1.2.1.c. gemeenten; BZK
Gemeente Westerkwartier; Leek; art. 1.2.1.c. gemeenten; BZK
Gemeente Westerveld; Diever; art. 1.2.1.c. gemeenten; BZK
Gemeente Westervoort; Westervoort; art. 1.2.1.c. gemeenten; BZK
Gemeente Westerwolde; Sellingen; art. 1.2.1.c. gemeenten; BZK
Gemeente Westland; Naaldwijk; art. 1.2.1.c. gemeenten; BZK
Gemeente Weststellingwerf; Wolvega; art. 1.2.1.c. gemeenten; BZK
Gemeente Westvoorne; Rockanje; art. 1.2.1.c. gemeenten; BZK
Gemeente Wierden; Wierden; art. 1.2.1.c. gemeenten; BZK
Gemeente Wijchen; Wijchen; art. 1.2.1.c. gemeenten; BZK
Gemeente Wijdemeren; Loosdrecht; art. 1.2.1.c. gemeenten; BZK
Gemeente Wijk bij Duurstede; Wijk bij Duurstede; art. 1.2.1.c. gemeenten; BZK
Gemeente Winterswijk; Winterswijk; art. 1.2.1.c. gemeenten; BZK
Gemeente Woensdrecht; Hoogerheide; art. 1.2.1.c. gemeenten; BZK
Gemeente Woerden; Woerden; art. 1.2.1.c. gemeenten; BZK
Gemeente Wormerland; Wormer; art. 1.2.1.c. gemeenten; BZK
Gemeente Woudenberg; Woudenberg; art. 1.2.1.c. gemeenten; BZK
Gemeente Zaanstad; Zaandam; art. 1.2.1.c. gemeenten; BZK
Gemeente Zaltbommel; Zaltbommel; art. 1.2.1.c. gemeenten; BZK
Gemeente Zandvoort; Zandvoort; art. 1.2.1.c. gemeenten; BZK
Gemeente Zeewolde; Zeewolde; art. 1.2.1.c. gemeenten; BZK
Gemeente Zeist; Zeist; art. 1.2.1.c. gemeenten; BZK
Gemeente Zevenaar; Zevenaar; art. 1.2.1.c. gemeenten; BZK
Gemeente Zoetermeer; Zoetermeer; art. 1.2.1.c. gemeenten; BZK
Gemeente Zoeterwoude; Zoeterwoude; art. 1.2.1.c. gemeenten; BZK
Gemeente Zuidplas; Nieuwerkerk ad IJssel; art. 1.2.1.c. gemeenten; BZK
Gemeente Zundert; Zundert; art. 1.2.1.c. gemeenten; BZK
Gemeente Zutphen; Zutphen; art. 1.2.1.c. gemeenten; BZK
Gemeente Zwartewaterland; Hasselt; art. 1.2.1.c. gemeenten; BZK
Gemeente Zwijndrecht; Zwijndrecht; art. 1.2.1.c. gemeenten; BZK
Gemeente Zwolle; Zwolle; art. 1.2.1.c. gemeenten; BZK
Gemeentelijk Belastingkantoor Twente; Hengelo Ov; art. 1.2.1.h. WGR; BZK
Gemeentelijke Gezondheidsdienst Haaglanden; 's-Gravenhage; art. 1.2.1.h. WGR; BZK
Geneeskundige Gezondheidsdienst Zuid-Limburg; Geleen; art. 1.2.1.h. WGR; BZK
GGD Brabant-Zuidoost; Eindhoven; art. 1.2.1.h. WGR; BZK
GGd Drenthe; Assen; art. 1.2.1.h. WGR; BZK
GGD Flevoland; Lelystad; art. 1.2.1.h. WGR; BZK
GGD Gelderland-Zuid; Nijmegen; art. 1.2.1.h. WGR; BZK
GGD Groningen; Groningen; art. 1.2.1.h. WGR; BZK
GGD Hart voor Brabant; 's-Hertogenbosch; art. 1.2.1.h. WGR; BZK
GGD IJsselland; Zwolle; art. 1.2.1.h. WGR; BZK
GGD Noord- en Oost-Gelderland; Warnsveld; art. 1.2.1.h. WGR; BZK
GGD regio Utrecht; Zeist; art. 1.2.1.h. WGR; BZK
GGD West-Brabant; Breda; art. 1.2.1.h. WGR; BZK
GGD Zaanstreek Waterland; Zaandam; art. 1.2.1.h. WGR; BZK
GR Bleizo; Bleiswijk; art. 1.2.1.h. WGR; BZK
GR Cocensus; Heemskerk; art. 1.2.1.h. WGR; BZK
GR Veiligheidsregio Hollands Midden; Leiden; art. 1.2.1.h. WGR; BZK
GR Werkvoorzieningschap Kust , duin en Bollenstreek; Voorhout; art. 1.2.1.h. WGR; BZK
Grensoverschrijdend Openbaar Lichaam Welzijn Assende/Terneuzen; Axel; art. 1.2.1.h. WGR; BZK
Groenalliantie Midden-Holland en omstreken; Schiedam; art. 1.2.1.h. WGR; BZK
Groengebied Amstelland; Amstelveen; art. 1.2.1.h. WGR; BZK
Grondbank RZG Zuidplas; Nieuwerkerk ad IJssel; art. 1.2.1.h. WGR; BZK
Haagse Omroep B.V.; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Halte werk; Alkmaar; art. 1.2.1.h. WGR; BZK
Hameland; Lichtenvoorde; art. 1.2.1.h. WGR; BZK
Havenschap Groningen Seaports; Delfzijl; art. 1.2.1.h. WGR; BZK
Havenschap Moerdijk; Moerdijk; art. 1.2.1.h. WGR; BZK
Het Gegevenshuis; Landgraaf; art. 1.2.1.h. WGR; BZK
Het Gelders Genootschap tot Bevordering en Instandhouding van de Schoonheid van Stad en Land; Arnhem; art. 1.3.1.b. invloed; BZK
Het Industrieschap 'De Plaspoelpolder'; Rijswijk; art. 1.2.1.h. WGR; BZK
het Interprovinciaal Overleg; 's-Gravenhage; art. 1.3.1.b. invloed; BZK
Het Plein; Zutphen; art. 1.2.1.h. WGR; BZK
Het Utrechts Archief; Utrecht; art. 1.2.1.h. WGR; BZK
Het Waterschapshuis; Amersfoort; art. 1.2.1.h. WGR; BZK
Historisch Centrum Overijssel; Zwolle; art. 1.2.1.h. WGR; BZK
Hoogheemraadschap Hollands Noorderkwartier; Heerhugowaard; art. 1.2.1.d. waterschappen; BZK
Hoogheemraadschap van Delfland; Delft; art. 1.2.1.d. waterschappen; BZK
Hoogheemraadschap van Rijnland; Leiden; art. 1.2.1.d. waterschappen; BZK
Hoogheemraadschap van Schieland en de Krimpenerwaard; Rotterdam; art. 1.2.1.d. waterschappen; BZK
Horizon B.V.; Lelystad; art. 1.3.1.c. subsidie; BZK
HUMANITAS, Nederlandse vereniging voor maatschappelijke dienstverlening en samenlevingsopbouw; Amsterdam; art. 1.3.1.c. subsidie; BZK
hûs en hiem welstandsadvisering en monumentenzorg; Leeuwarden; art. 1.2.1.h. WGR; BZK
IBN Holding B.V.; Uden; art. 1.2.1.h. WGR; BZK
ICT Noord- en Midden-Limburg (ICT NML); Roermond; art. 1.2.1.h. WGR; BZK
Ict Samenwerking West-Brabant-West; Zevenbergen; art. 1.2.1.h. WGR; BZK
'IJmond Werkt'; Beverwijk; art. 1.2.1.h. WGR; BZK
Industrieschap Medel; Tiel; art. 1.2.1.h. WGR; BZK
Ingrado; Rotterdam; art. 1.3.1.b. invloed; BZK
Instituut Fysieke Veiligheid (IFV); Arnhem; art. 1.2.1.h. ZBO; JenV
Intergemeentelijke Sociale Dienst (ISD) Bollenstreek; Lisse; art. 1.2.1.h. WGR; BZK
Intergemeentelijke Werkvoorziening Gennep, Mook en Middelaar; Heijen; art. 1.2.1.h. WGR; BZK
ISD BOL; Brunssum; art. 1.2.1.h. WGR; BZK
ISD Kompas; Nuth; art. 1.2.1.h. WGR; BZK
IUCN The World Conservation Union; Amsterdam; bijlagen WNT; BZ
Jongerencentra Waalwijk; Waalwijk; art. 1.3.1.c. subsidie; BZK
Kamer van Koophandel; Utrecht; art. 1.2.1.h. ZBO; EZK
Kansspelautoriteit; Den Haag; art. 1.2.1.h. ZBO; JenV
Klimaatverbond Nederland; Arnhem; art. 1.3.1.b. invloed; BZK
Koninklijke Beroepsorganisatie van Gerechtsdeurwaarders; 's-Gravenhage; art. 1.2.1.e. OL voor bedrijf en beroep; JenV
Koninklijke Nederlandse Centrale Vereniging tot Bestrijding der Tuberculose (KNCV); 's-Gravenhage; bijlagen WNT; BZ
Koninklijke Notariële Beroepsorganisatie; 's-Gravenhage; art. 1.2.1.e. OL voor bedrijf en beroep; JenV
Koninklijke Stichting Defensiemusea; Utrecht; art. 1.3.1.c. subsidie; Defensie
Kunstgebouw, Stichting Kunst en Cultuur Zuid-Holland; Rijswijk; art. 1.3.1.c. subsidie; BZK
Laborijn; Doetinchem; art. 1.2.1.h. WGR; BZK
Landelijk Bureau Inning Onderhoudsbijdragen; Rotterdam; art. 1.2.1.h. ZBO; JenV
Lariks Huis van Leusden; Leusden; art. 1.3.1.c. subsidie; BZK
Liander N.V.; Arnhem; bijlagen WNT; EZK
Luchtverkeersleiding Nederland (LVNL); Schiphol; art. 1.2.1.h. ZBO; IenW
Mainline, (stichting) Gezondheids- en Preventiewerk Druggebruikers; Amsterdam; art. 1.3.1.c. subsidie; BZK
Meerinzicht; Ermelo; art. 1.2.1.h. WGR; BZK
Meerschap Paterswolde; Haren Gn; art. 1.2.1.h. WGR; BZK
Menso N.V.; Emmen; art. 1.3.1.c. subsidie; BZK
Metropoolregio Eindhoven; Eindhoven; art. 1.2.1.h. WGR; BZK
Metropoolregio Rotterdam Den Haag; Rotterdam; art. 1.2.1.h. WGR; BZK
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties; Den Haag; art. 1.2.1.a. minister; BZK
Ministerie van Buitenlandse Zaken; Den Haag; art. 1.2.1.a. minister; BZ
Ministerie van Defensie; Den Haag; art. 1.2.1.a. minister; Defensie
Ministerie van Economische Zaken en Klimaat; Den Haag; art. 1.2.1.a. minister; EZK
Ministerie van Financiën; Den Haag; art. 1.2.1.a. minister; Financiën
Ministerie van Infrastructuur en Waterstaat; Den Haag; art. 1.2.1.a. minister; IenW
Ministerie van Justitie en Veiligheid; Den Haag; art. 1.2.1.a. minister; JenV
Ministerie van Landbouw, Natuur en Voedselkwaliteit; Den Haag; art. 1.2.1.a. minister; LNV
Ministerie van Sociale Zaken en Werkgelegenheid; Den Haag; art. 1.2.1.a. minister; SZW
Mobiliteitsbureau Noordoost Fryslân; Damswâld; art. 1.2.1.h. WGR; BZK
Modulaire Gemeenschappelijke regeling Rijk van Nijmegen; Nijmegen; art. 1.2.1.h. WGR; BZK
Modulaire gemeenschappelijke regeling Sociaal Domein Centraal Gelderland; Arnhem; art. 1.2.1.h. WGR; BZK
