ABG-organisatie; Alphen; art. 1.2.1.h. WGR; JenV
Coöperatie Dimpact UA; Enschede; art. 1.3.1.b. invloed; BZK
Coöperatie Gastvrije Randmeren UA; Harderwijk; art. 1.3.1.b. invloed; BZK
Coöperatie Openbare Verlichting & Energie Fryslân U.A.; Sneek; art. 1.3.1.b. invloed; BZK
Coöperatie Park Management Grote Polder UA; Zoeterwoude; art. 1.3.1.c. subsidie; BZK
Coöperatie ParkeerService U.A.; Amersfoort; art. 1.3.1.b. invloed; BZK
Coöperatie Servicehuis Parkeer- en Verblijfsrechten UA; Voorschoten; art. 1.3.1.b. invloed; BZK
Coöperatief Agrarisch Natuur Collectief Veluwe U.A.; Nijkerk; art. 1.3.1.c. subsidie; BZK
Coöperatief Beheer groengebieden Midden-Delfland U.A.; Schipluiden; art. 1.3.1.b. invloed; BZK
Coöperatieve Agrarische Natuur Collectief Noordwest Overijssel U.A.; Kampen; art. 1.3.1.c. subsidie; BZK
Coöperatieve Vereniging Agrarisch Landschap Achterhoek U.A.; Vorden; art. 1.3.1.c. subsidie; BZK
Coöperatieve vereniging Coöperatie Agrarisch Collectief Waadrâne U.A.; Jannum; art. 1.3.1.c. subsidie; BZK
Coöperatieve vereniging Kunstkade U.A.; Leeuwarden; art. 1.3.1.c. subsidie; BZK
Coöperatieve Vereniging Súdwestkust U.A.; Koudum; art. 1.3.1.c. subsidie; BZK
Coteq Netbeheer B.V.; Almelo; bijlagen WNT; EZK
De Betho; Goes; art. 1.2.1.h. WGR; BZK
De Bibliotheek Salland; Raalte; art. 1.3.1.c. subsidie; BZK
De Commandostichting; Roosendaal; art. 1.3.1.b. invloed; Defensie
De gemeenschappelijke regeling IJSSELgemeenten; Capelle aan den Ijssel; art. 1.2.1.h. WGR; BZK
De Gemeenschappelijke Regeling Zeeland Seaports; Terneuzen; art. 1.2.1.h. WGR; BZK
De Nederlandsche Bank N.V. (DNB); Amsterdam; art. 1.3.1.a. openbaar gezag; Financiën
De Oude Rijnzone; Alphen aan den Rijn; art. 1.2.1.h. WGR; BZK
De Samenwerking Kempengemeenten; Reusel; art. 1.2.1.h. WGR; BZK
De Stichting Sportraad Overijssel; Zwolle; art. 1.3.1.c. subsidie; BZK
De Vervoerregio Amsterdam; Amsterdam; art. 1.2.1.h. WGR; BZK
Delta; Apeldoorn; art. 1.2.1.h. WGR; BZK
Dienst Dommelvallei; Mierlo; art. 1.2.1.h. WGR; BZK
Dienst Gezondheid & Jeugd Zuid-Holland Zuid; Dordrecht; art. 1.2.1.h. WGR; BZK
Dienst Sociale Werkvoorziening; Zoetermeer; art. 1.2.1.h. WGR; BZK
Dienst Sociale Zaken en Werkgelegenheid Noardwest Fryslân; Franeker; art. 1.2.1.h. WGR; BZK
Dienst voor het Kadaster en de openbare registers; Apeldoorn; art. 1.2.1.h. ZBO; BZK
